presentations
"タイトル(日本語)","タイトル(英語)","講演者(日本語)","講演者(英語)","会議名(日本語)","会議名(英語)","発表年月日","開催年月日(From)","開催年月日(To)","招待の有無","記述言語","会議種別","主催者(日本語)","主催者(英語)","開催地(日本語)","開催地(英語)","国・地域","国際・国内会議","国際共著","概要(日本語)","概要(英語)","URL","URL2"
"水中マイクを用いたサケの求愛行動の振動分析","null","亀川大和、手嶋優風、阿部貴晃、市村政樹、牧口祐也","null","日本水産学会春季大会","null","2026-03-26","2026-03-26","2026-03-29","FALSE","jpn","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"サクラマス稚魚における野生魚と半野生魚の代謝比較","null","奈木野雄一、阿部貴晃、佐藤正人、松山大志郎、牧口祐也","null","日本水産学会春季大会","null","2026-03-26","2026-03-26","2026-03-29","FALSE","jpn","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"サケの求愛行動分析：産卵前変化における「接近距離」の重要性","null","牧口祐也","null","第20回日本バイオログング研究会シンポジウム","null","2025-10-11","2025-10-11","2025-10-13","TRUE","jpn","invited_oral_presentation","null","null","長崎大学文教キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"夏季ベーリング海におけるサケの回遊行動","null","阿部貴晃、牧口祐也、髙橋晋、北川貴士","null","学術変革領域（A）「階層的生物ナビ学」領域会議","null","2025-07-13","2025-07-13","2025-07-14","FALSE","jpn","poster_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"水温と餌環境がシシャモのエネルギー配分量に及ぼす影響","null","河野祐太、牧優花、岡田のぞみ、阿部貴晃、牧口祐也","null","日本水産学会春季大会","null","2025-03-26","2025-03-26","2025-03-29","FALSE","jpn","oral_presentation","null","null","北里大学相模原キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ホタテガイは群れて身を守る?～二枚貝の集団形成による捕食回避機構","null","三好晃治、山﨑千登勢、富山嶺、牧口祐也","null","日本動物行動学会第42回大会","null","2023-11-14","2023-11-14","2023-11-14","FALSE","jpn","poster_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"シシャモの代謝率と資源量解析から紐解く至適水温の解明","null","牧口祐也","null","道総研セミナー","null","2023-07-26","2023-07-26","2023-07-26","FALSE","jpn","oral_presentation","null","null","北海道総合研究機構栽培水産試験場","null","JPN","FALSE","FALSE","null","null","null","null"
"半天然魚のサクラマス幼魚は養殖魚に比べて代謝率が高い","null","牧口祐也、河内潤、石井優希、八木澤優、佐藤正人","null","第15回サケ学研究会","null","2022-12-25","2022-12-25","2022-12-25","FALSE","jpn","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"生物研究者によるDeepLabCutを使った生物の行動追跡について","null","牧口祐也、三好晃治","null","学術変革領域研究(A) 階層的生物ナビ学勉強会","null","2022-11-25","2022-11-25","2022-11-25","FALSE","jpn","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"シシャモの繁殖行動の解析","null","服部鯨太、太田知志、新居久也、牧口祐也、小島隆人","null","日本水産学会春季大会","null","2022-03-25","2022-03-25","2022-03-29","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"サケの産卵行動における心拍数と雌雄の比較","null","伊原希望、小島隆人、牧口祐也","null","日本水産学会春季大会","null","2022-03-25","2022-03-25","2022-03-29","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"産卵が近づくと消極的になるシロザケの求愛行動","null","関恭佑、牧口祐也","null","第14回サケ学研究会","null","2021-12-11","2021-12-11","2021-12-11","FALSE","jpn","oral_presentation","null","null","サテライト開催","null","JPN","FALSE","FALSE","null","null","null","null"
"時間とともに変化するオスのシロザケの求愛行動","null","関恭佑、牧口祐也","null","日本水産学会水産学若手の会イベント ナイトポスターセッション","null","2021-09","2021-09","2021-09","FALSE","jpn","poster_presentation","null","null","オンライン","null","JPN","FALSE","FALSE","null","null","null","null"
"サクラマスの雌が複数雄の精子から享受する利益の検証","null","牧口祐也、小島隆人","null","日本水産学会春季大会","null","2020-03-26","2020-03-26","2020-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"ヒメマスにおけるMHC遺伝子と配偶者選択の関係","null","安田博貴、牧口祐也、柳本卓、小島隆人","null","日本水産学会春季大会","null","2020-03-26","2020-03-26","2020-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"サクラマスの老魚と若魚における精子運動性能","null","牧口祐也、泊健太、小島隆人","null","日本水産学会春季大会","null","2019-03-26","2019-03-26","2019-03-29","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"傾角・方位センサの曳航による定置網内における魚の行動軌跡記録の試み","null","小島隆人、比田貴博、眞田将汰、野副倫臣、牧口祐也","null","日本水産学会春季大会","null","2019-03-26","2019-03-26","2019-03-29","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"低水温期の沼沢湖におけるヒメマスの放射性セシウム収支","null","高井則之、三好航次郎、秋坂朋哉、上田眞吾、牧口祐也、鷹崎和義、川田暁、手塚公裕、桑江朝比呂","null","日本水産学会春季大会","null","2019-03-26","2019-03-26","2019-03-29","FALSE","jpn","poster_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"シシャモの臨界遊泳速度","null","新居久也、牧口祐也、宮川椋、上田宏","null","日本水産学会秋季大会","null","2018-09-15","2018-09-15","2018-09-18","FALSE","jpn","oral_presentation","null","null","広島大学","null","JPN","FALSE","FALSE","null","null","null","null"
